import time: self [us] | cumulative | imported package
import time:       307 |        307 |   _io
import time:        47 |         47 |   marshal
import time:       359 |        359 |   posix
import time:       477 |       1189 | _frozen_importlib_external
import time:       130 |        130 |   time
import time:       162 |        292 | zipimport
import time:        63 |         63 |     _codecs
import time:       335 |        397 |   codecs
import time:       549 |        549 |   encodings.aliases
import time:       721 |       1667 | encodings
import time:       243 |        243 | encodings.utf_8
import time:       125 |        125 | _signal
import time:        76 |         76 |     _abc
import time:       177 |        253 |   abc
import time:       189 |        441 | io
import time:        49 |         49 |       _stat
import time:       105 |        154 |     stat
import time:       968 |        968 |     _collections_abc
import time:        78 |         78 |       genericpath
import time:       131 |        209 |     posixpath
import time:       429 |       1759 |   os
import time:        84 |         84 |   _sitebuiltins
import time:       514 |        514 |     types
import time:       154 |        154 |     cuda
import time:       761 |       1428 |   _cuda_bindings_redirector
import time:       326 |        326 |   _distutils_hack
import time:        92 |         92 |     apport_python_hook
import time:       205 |        297 |   sitecustomize
import time:      2153 |       6045 | site
import time:       255 |        255 |       src
import time:       259 |        513 |     src.interfaces
import time:       257 |        769 |   src.interfaces.http
import time:       207 |        207 |     starlette
import time:       243 |        243 |       __future__
import time:       391 |        391 |       warnings
import time:       339 |        972 |     starlette.status
import time:       192 |        192 |           itertools
import time:       186 |        186 |           keyword
import time:       112 |        112 |             _operator
import time:       461 |        573 |           operator
import time:       255 |        255 |           reprlib
import time:        97 |         97 |           _collections
import time:      1153 |       2454 |         collections
import time:       277 |       2731 |       collections.abc
import time:        82 |         82 |           _functools
import time:       687 |        769 |         functools
import time:      1761 |       2529 |       enum
import time:       249 |        249 |         copyreg
import time:      1010 |       1010 |         contextlib
import time:       103 |        103 |             _sre
import time:       360 |        360 |               re._constants
import time:       611 |        971 |             re._parser
import time:       156 |        156 |             re._casefix
import time:       588 |       1816 |           re._compiler
import time:       700 |       2516 |         re
import time:        57 |         57 |         _typing
import time:      3867 |       7696 |       typing
import time:       237 |        237 |         annotated_doc.main
import time:       290 |        526 |       annotated_doc
import time:       241 |        241 |           email
import time:       129 |        129 |           binascii
import time:       230 |        230 |           quopri
import time:       101 |        101 |               math
import time:        76 |         76 |                 _bisect
import time:       318 |        393 |               bisect
import time:        70 |         70 |               _random
import time:        89 |         89 |               _sha2
import time:       613 |       1265 |             random
import time:       376 |        376 |               _socket
import time:        97 |         97 |                 select
import time:       887 |        983 |               selectors
import time:       103 |        103 |               errno
import time:       130 |        130 |               array
import time:      2381 |       3971 |             socket
import time:       155 |        155 |               _datetime
import time:       300 |        455 |             datetime
import time:       221 |        221 |               urllib
import time:      1650 |       1650 |               ipaddress
import time:      1491 |       3361 |             urllib.parse
import time:        94 |         94 |                   _locale
import time:      1205 |       1299 |                 locale
import time:      1228 |       2526 |               calendar
import time:       356 |       2882 |             email._parseaddr
import time:       102 |        102 |                     _struct
import time:       222 |        323 |                   struct
import time:       313 |        635 |                 base64
import time:       184 |        818 |               email.base64mime
import time:        53 |         53 |                   _string
import time:       898 |        951 |                 string
import time:       348 |       1299 |               email.quoprimime
import time:       579 |        579 |               email.errors
import time:       242 |        242 |               email.encoders
import time:       386 |       3322 |             email.charset
import time:       749 |      16002 |           email.utils
import time:       728 |        728 |             email.header
import time:       413 |       1140 |           email._policybase
import time:       490 |        490 |           email._encoded_words
import time:       177 |        177 |           email.iterators
import time:      1044 |      19451 |         email.message
import time:      1404 |       1404 |             _ast
import time:      1645 |       3049 |           ast
import time:        47 |         47 |               _opcode
import time:       603 |        650 |             opcode
import time:      1142 |       1792 |           dis
import time:       226 |        226 |             importlib
import time:       115 |        341 |           importlib.machinery
import time:       236 |        236 |               token
import time:        54 |         54 |               _tokenize
import time:      1130 |       1419 |             tokenize
import time:       248 |       1666 |           linecache
import time:      2874 |       9720 |         inspect
import time:       336 |        336 |               _json
import time:       506 |        841 |             json.scanner
import time:       641 |       1482 |           json.decoder
import time:       563 |        563 |           json.encoder
import time:       388 |       2432 |         json
import time:       287 |        287 |             anyio._core
import time:      1659 |       1946 |           anyio._core._contextmanagers
import time:       323 |        323 |               _weakrefset
import time:       839 |       1161 |             threading
import time:       247 |        247 |               _contextvars
import time:       214 |        460 |             contextvars
import time:      1120 |       1120 |               textwrap
import time:       507 |       1627 |             anyio._core._exceptions
import time:       213 |        213 |               sniffio._version
import time:       213 |        213 |               sniffio._impl
import time:       316 |        741 |             sniffio
import time:       382 |       4369 |           anyio._core._eventloop
import time:       215 |        215 |               fnmatch
import time:       105 |        105 |                 _winapi
import time:       100 |        100 |                 nt
import time:        97 |         97 |                 nt
import time:        95 |         95 |                 nt
import time:        94 |         94 |                 nt
import time:        93 |         93 |                 nt
import time:        93 |         93 |                 nt
import time:       349 |       1024 |               ntpath
import time:      1090 |       2328 |             pathlib
import time:       609 |        609 |                 weakref
import time:       308 |        917 |               copy
import time:       801 |       1717 |             dataclasses
import time:       996 |        996 |                   signal
import time:       808 |       1803 |                 anyio.abc._eventloop
import time:       220 |        220 |                 anyio.abc._resources
import time:       252 |        252 |                   anyio._core._typedattr
import time:      2670 |       2670 |                       typing_extensions
import time:       424 |       3093 |                     anyio.abc._tasks
import time:      1247 |       4340 |                   anyio.abc._streams
import time:      1165 |       5757 |                 anyio.abc._sockets
import time:       253 |        253 |                 anyio.abc._subprocesses
import time:       215 |        215 |                 anyio.abc._testing
import time:      1303 |       1303 |                   anyio.lowlevel
import time:       352 |        352 |                   anyio._core._tasks
import time:       258 |        258 |                   anyio._core._testing
import time:      4773 |       6686 |                 anyio._core._synchronization
import time:       200 |        200 |                     concurrent
import time:       703 |        703 |                         traceback
import time:        73 |         73 |                         atexit
import time:      2645 |       3420 |                       logging
import time:       738 |       4157 |                     concurrent.futures._base
import time:       356 |       4712 |                   concurrent.futures
import time:      1231 |       5943 |                 anyio.from_thread
import time:       828 |      21702 |               anyio.abc
import time:       320 |      22021 |             anyio.to_thread
import time:      1195 |      27261 |           anyio._core._fileio
import time:       187 |        187 |           anyio._core._resources
import time:       167 |        167 |           anyio._core._signals
import time:      2189 |       2189 |               _ssl
import time:      5115 |       7303 |             ssl
import time:       227 |        227 |               anyio.streams
import time:      1598 |       1824 |             anyio.streams.stapled
import time:      1290 |       1290 |             anyio.streams.tls
import time:        57 |         57 |                     _heapq
import time:       291 |        348 |                   heapq
import time:        98 |         98 |                     fcntl
import time:       109 |        109 |                     msvcrt
import time:        45 |         45 |                     _posixsubprocess
import time:       933 |       1184 |                   subprocess
import time:       309 |        309 |                   asyncio.constants
import time:       172 |        172 |                   asyncio.coroutines
import time:       182 |        182 |                     asyncio.format_helpers
import time:       199 |        199 |                       asyncio.base_futures
import time:       273 |        273 |                       asyncio.exceptions
import time:       190 |        190 |                       asyncio.base_tasks
import time:       578 |       1239 |                     _asyncio
import time:       710 |       2130 |                   asyncio.events
import time:       349 |        349 |                   asyncio.futures
import time:       324 |        324 |                   asyncio.protocols
import time:       472 |        472 |                     asyncio.transports
import time:       167 |        167 |                     asyncio.log
import time:      1030 |       1668 |                   asyncio.sslproto
import time:       179 |        179 |                       asyncio.mixins
import time:       644 |        823 |                     asyncio.locks
import time:       703 |        703 |                       asyncio.timeouts
import time:       615 |       1317 |                     asyncio.tasks
import time:       537 |       2676 |                   asyncio.staggered
import time:       205 |        205 |                   asyncio.trsock
import time:      1665 |      11025 |                 asyncio.base_events
import time:       394 |        394 |                 asyncio.runners
import time:       345 |        345 |                 asyncio.queues
import time:       485 |        485 |                 asyncio.streams
import time:       447 |        447 |                 asyncio.subprocess
import time:       249 |        249 |                 asyncio.taskgroups
import time:       169 |        169 |                 asyncio.threads
import time:       319 |        319 |                   asyncio.base_subprocess
import time:       776 |        776 |                   asyncio.selector_events
import time:      1027 |       2122 |                 asyncio.unix_events
import time:       643 |      15875 |               asyncio
import time:        36 |      15911 |             asyncio.coroutines
import time:      1623 |      27950 |           anyio._core._sockets
import time:      2604 |       2604 |             anyio.streams.memory
import time:       320 |       2924 |           anyio._core._streams
import time:       253 |        253 |           anyio._core._subprocesses
import time:       140 |        140 |                 zlib
import time:       431 |        431 |                   _compression
import time:       405 |        405 |                   _bz2
import time:       404 |       1239 |                 bz2
import time:       428 |        428 |                   _lzma
import time:       343 |        770 |                 lzma
import time:      1642 |       3790 |               shutil
import time:       657 |       4447 |             tempfile
import time:       706 |       5153 |           anyio._core._tempfile
import time:       864 |      71070 |         anyio
import time:      1274 |       1274 |                       pydantic_core._pydantic_core
import time:       499 |        499 |                             numbers
import time:       828 |       1327 |                           _decimal
import time:       238 |       1564 |                         decimal
import time:     19830 |      21394 |                       pydantic_core.core_schema
import time:      1107 |      23774 |                     pydantic_core
import time:       240 |      24014 |                   pydantic.version
import time:       510 |      24524 |                 pydantic.warnings
import time:       568 |      25092 |               pydantic._migration
import time:       243 |        243 |                   typing_inspection
import time:      2964 |       2964 |                   typing_inspection.typing_objects
import time:      1262 |       4468 |                 typing_inspection.introspection
import time:       284 |        284 |                 pydantic._internal
import time:       588 |        588 |                     pydantic._internal._namespace_utils
import time:       764 |       1351 |                   pydantic._internal._typing_extra
import time:       414 |       1765 |                 pydantic._internal._repr
import time:       748 |       7264 |               pydantic.errors
import time:       485 |      32840 |             pydantic
import time:       146 |        146 |                 pydantic._internal._internal_dataclass
import time:      1840 |       1986 |               pydantic.aliases
import time:      1747 |       1747 |               pydantic.config
import time:       527 |       4259 |             pydantic._internal._config
import time:       460 |        460 |               pydantic._internal._core_utils
import time:       181 |        181 |                 pydantic._internal._import_utils
import time:      1442 |       1622 |               pydantic._internal._utils
import time:      5429 |       7510 |             pydantic._internal._decorators
import time:       741 |        741 |                 pydantic._internal._forward_ref
import time:       641 |       1382 |               pydantic._internal._generics
import time:       318 |        318 |               pydantic._internal._docs_extraction
import time:       592 |       2291 |             pydantic._internal._fields
import time:       903 |        903 |                 pydantic.plugin
import time:       642 |       1544 |               pydantic.plugin._schema_validator
import time:       557 |       2100 |             pydantic._internal._mock_val_ser
import time:      1756 |       1756 |                 fractions
import time:       179 |        179 |                     _wmi
import time:       792 |        970 |                   platform
import time:       149 |        149 |                   _uuid
import time:       615 |       1733 |                 uuid
import time:       661 |        661 |                     sysconfig
import time:       785 |        785 |                     _sysconfigdata__x86_64-linux-gnu
import time:       780 |       2225 |                   zoneinfo._tzpath
import time:       303 |        303 |                   zoneinfo._common
import time:       368 |        368 |                   _zoneinfo
import time:       423 |       3318 |                 zoneinfo
import time:       245 |        245 |                 pydantic.annotated_handlers
import time:      6349 |       6349 |                 pydantic.functional_validators
import time:       667 |        667 |                   pydantic._internal._core_metadata
import time:       259 |        259 |                   pydantic._internal._schema_generation_shared
import time:      3266 |       4191 |                 pydantic.json_schema
import time:       394 |        394 |                 pydantic._internal._discriminated_union
import time:       362 |        362 |                 pydantic._internal._known_annotated_metadata
import time:      2247 |       2247 |                 pydantic._internal._schema_gather
import time:      2417 |      23006 |               pydantic._internal._generate_schema
import time:       390 |        390 |               pydantic._internal._signature
import time:       728 |      24123 |             pydantic._internal._model_construction
import time:      1241 |       1241 |               http
import time:       304 |       1545 |             starlette.exceptions
import time:     12444 |      12444 |               annotated_types
import time:       471 |        471 |               pydantic._internal._validators
import time:      8956 |       8956 |               pydantic.types
import time:      3236 |      25106 |             pydantic.fields
import time:       115 |        115 |                   _csv
import time:       536 |        650 |                 csv
import time:       196 |        196 |                     importlib._abc
import time:       194 |        389 |                   importlib.util
import time:       211 |        211 |                     zipfile._path.glob
import time:       521 |        732 |                   zipfile._path
import time:      1190 |       2310 |                 zipfile
import time:       154 |        154 |                     importlib.metadata._functools
import time:       248 |        401 |                   importlib.metadata._text
import time:       438 |        839 |                 importlib.metadata._adapters
import time:       576 |        576 |                 importlib.metadata._meta
import time:       364 |        364 |                 importlib.metadata._collections
import time:       157 |        157 |                 importlib.metadata._itertools
import time:       480 |        480 |                       importlib.resources.abc
import time:       398 |        398 |                       importlib.resources._adapters
import time:       659 |       1536 |                     importlib.resources._common
import time:       287 |        287 |                     importlib.resources._legacy
import time:       269 |       2091 |                   importlib.resources
import time:       485 |       2575 |                 importlib.abc
import time:      1747 |       9215 |               importlib.metadata
import time:       285 |       9499 |             pydantic.plugin._loader
import time:     18029 |     127298 |           fastapi.exceptions
import time:       207 |        207 |             fastapi.openapi
import time:       230 |        230 |                 fastapi.types
import time:      1470 |       1470 |                   shlex
import time:       225 |        225 |                   starlette.concurrency
import time:       232 |        232 |                   starlette.types
import time:      1263 |       3188 |                 starlette.datastructures
import time:       460 |       3878 |               fastapi._compat.shared
import time:       169 |        169 |                 fastapi.openapi.constants
import time:      1998 |       2167 |               fastapi._compat.v2
import time:       315 |       6359 |             fastapi._compat
import time:       177 |        177 |             fastapi.logger
import time:       108 |        108 |             email_validator
import time:    133527 |     140375 |           fastapi.openapi.models
import time:      3731 |     271403 |         fastapi.params
import time:       508 |        508 |         fastapi.datastructures
import time:       195 |        195 |           fastapi.dependencies
import time:       157 |        157 |                 fastapi.security.base
import time:      1635 |       1635 |                   http.cookies
import time:       531 |        531 |                   starlette._utils
import time:       275 |        275 |                           python_multipart.exceptions
import time:       294 |        568 |                         python_multipart.decoders
import time:      1495 |       2063 |                       python_multipart.multipart
import time:       276 |       2338 |                     python_multipart
import time:      1377 |       3715 |                   starlette.formparsers
import time:       696 |       6575 |                 starlette.requests
import time:       665 |       7396 |               fastapi.security.api_key
import time:       160 |        160 |                 fastapi.security.utils
import time:      1788 |       1947 |               fastapi.security.http
import time:      2117 |       2117 |                 fastapi.param_functions
import time:      1444 |       3560 |               fastapi.security.oauth2
import time:       285 |        285 |               fastapi.security.open_id_connect_url
import time:       376 |      13563 |             fastapi.security
import time:        48 |      13611 |           fastapi.security.base
import time:      1974 |      15779 |         fastapi.dependencies.models
import time:       201 |        201 |             starlette.background
import time:       294 |        495 |           fastapi.background
import time:       207 |        207 |           fastapi.concurrency
import time:       283 |        283 |           fastapi.utils
import time:      1139 |       1139 |               _hashlib
import time:        83 |         83 |               _blake2
import time:       437 |       1658 |             hashlib
import time:       102 |        102 |               _winapi
import time:       148 |        148 |               winreg
import time:       455 |        704 |             mimetypes
import time:       282 |        282 |               hmac
import time:       390 |        672 |             secrets
import time:       599 |       3631 |           starlette.responses
import time:       484 |        484 |           starlette.websockets
import time:      2068 |       7166 |         fastapi.dependencies.utils
import time:       297 |        297 |             colorsys
import time:       790 |       1087 |           pydantic.color
import time:       558 |       1644 |         fastapi.encoders
import time:      2043 |       2043 |         fastapi.sse
import time:       189 |        189 |           starlette._exception_handler
import time:       767 |        767 |           starlette.convertors
import time:       349 |        349 |           starlette.middleware
import time:      1380 |       2682 |         starlette.routing
import time:      7311 |     411204 |       fastapi.routing
import time:       180 |        180 |         fastapi.websockets
import time:       474 |        653 |       fastapi.exception_handlers
import time:       173 |        173 |         fastapi.middleware
import time:       337 |        510 |       fastapi.middleware.asyncexitstack
import time:       484 |        484 |       fastapi.openapi.docs
import time:       679 |        679 |             email.feedparser
import time:       300 |        978 |           email.parser
import time:      1347 |       2325 |         http.client
import time:       114 |        114 |           ujson
import time:       478 |        478 |             orjson.orjson
import time:       319 |        796 |           orjson
import time:       380 |       1289 |         fastapi.responses
import time:       525 |       4138 |       fastapi.openapi.utils
import time:       420 |        420 |         starlette.middleware.base
import time:      1404 |       1404 |             html.entities
import time:       545 |       1949 |           html
import time:       311 |       2260 |         starlette.middleware.errors
import time:       251 |        251 |         starlette.middleware.exceptions
import time:       510 |       3440 |       starlette.applications
import time:      4365 |     438271 |     fastapi.applications
import time:       168 |        168 |     fastapi.requests
import time:       455 |     440071 |   fastapi
import time:       290 |        290 |     starlette.middleware.cors
import time:       220 |        510 |   fastapi.middleware.cors
import time:       128 |        128 |     src.application
import time:       379 |        506 |   src.application.errors
import time:       167 |        167 |     src.interfaces.composition
import time:       303 |        303 |         asyncpg.compat
import time:      1891 |       1891 |           configparser
import time:       408 |        408 |             termios
import time:       286 |        694 |           getpass
import time:       617 |        617 |             asyncpg.exceptions._base
import time:      5352 |       5968 |           asyncpg.exceptions
import time:       180 |        180 |                 asyncpg.pgproto
import time:       716 |        716 |                 asyncpg.pgproto.types
import time:       814 |       1709 |               asyncpg.pgproto.pgproto
import time:      1256 |       1256 |               asyncpg.types
import time:       232 |        232 |               asyncpg.protocol.record
import time:        83 |         83 |                 unicodedata
import time:       515 |        598 |               stringprep
import time:      1932 |       5725 |             asyncpg.protocol.protocol
import time:       268 |       5993 |           asyncpg.protocol
import time:      1507 |      16052 |         asyncpg.connect_utils
import time:       195 |        195 |           asyncpg.connresource
import time:       520 |        715 |         asyncpg.cursor
import time:       189 |        189 |         asyncpg.introspection
import time:       373 |        373 |         asyncpg.prepared_stmt
import time:       709 |        709 |         asyncpg.serverversion
import time:       441 |        441 |         asyncpg.transaction
import time:       174 |        174 |         asyncpg.utils
import time:      2145 |      21097 |       asyncpg.connection
import time:       901 |        901 |       asyncpg.pool
import time:       162 |        162 |       asyncpg._version
import time:       498 |      22656 |     asyncpg
